material_key,display_name,mode,identifier,note,energy_eV,coherent_cm2_g,incoherent_cm2_g,photoelectric_cm2_g,pair_nuclear_cm2_g,pair_electron_cm2_g,mu_rho_total_cm2_g,mu_rho_no_coherent_cm2_g
sio2,SiO2,compound,SiO2,silicon dioxide,5000,0.8939,0.0798,139.1,0.0,0.0,140.1,139.2
sio2,SiO2,compound,SiO2,silicon dioxide,5500,0.821,0.08553,106.0,0.0,0.0,106.9,106.1
sio2,SiO2,compound,SiO2,silicon dioxide,6000,0.7565,0.09074,82.61,0.0,0.0,83.45,82.7
sio2,SiO2,compound,SiO2,silicon dioxide,6500,0.699,0.09547,65.57,0.0,0.0,66.36,65.66
sio2,SiO2,compound,SiO2,silicon dioxide,7000,0.6475,0.09979,52.87,0.0,0.0,53.62,52.97
sio2,SiO2,compound,SiO2,silicon dioxide,7500,0.6012,0.1037,43.22,0.0,0.0,43.93,43.33
sio2,SiO2,compound,SiO2,silicon dioxide,8000,0.5593,0.1074,35.77,0.0,0.0,36.43,35.87
sio2,SiO2,compound,SiO2,silicon dioxide,8500,0.5214,0.1107,29.91,0.0,0.0,30.54,30.02
sio2,SiO2,compound,SiO2,silicon dioxide,9000,0.4871,0.1138,25.26,0.0,0.0,25.86,25.37
sio2,SiO2,compound,SiO2,silicon dioxide,9500,0.4558,0.1166,21.51,0.0,0.0,22.08,21.63
sio2,SiO2,compound,SiO2,silicon dioxide,10000,0.4275,0.1193,18.46,0.0,0.0,19.01,18.58
sio2,SiO2,compound,SiO2,silicon dioxide,10500,0.4016,0.1217,15.95,0.0,0.0,16.48,16.08
sio2,SiO2,compound,SiO2,silicon dioxide,11000,0.3779,0.124,13.88,0.0,0.0,14.38,14.0
sio2,SiO2,compound,SiO2,silicon dioxide,11500,0.3563,0.1261,12.14,0.0,0.0,12.62,12.27
sio2,SiO2,compound,SiO2,silicon dioxide,12000,0.3365,0.1281,10.68,0.0,0.0,11.15,10.81
glass_sio2,glass ~ SiO2,compound_alias,SiO2,glass surrogate assumed as SiO2; identical numbers to sio2,1000,1.981,0.01069,3176.0,0.0,0.0,3178.0,3176.0
glass_sio2,glass ~ SiO2,compound_alias,SiO2,glass surrogate assumed as SiO2; identical numbers to sio2,1500,1.81,0.0206,1073.0,0.0,0.0,1075.0,1073.0
glass_sio2,glass ~ SiO2,compound_alias,SiO2,glass surrogate assumed as SiO2; identical numbers to sio2,2000,1.63,0.03099,1666.0,0.0,0.0,1668.0,1666.0
glass_sio2,glass ~ SiO2,compound_alias,SiO2,glass surrogate assumed as SiO2; identical numbers to sio2,2500,1.463,0.041,959.1,0.0,0.0,960.6,959.1
glass_sio2,glass ~ SiO2,compound_alias,SiO2,glass surrogate assumed as SiO2; identical numbers to sio2,3000,1.314,0.05029,571.6,0.0,0.0,572.9,571.6
glass_sio2,glass ~ SiO2,compound_alias,SiO2,glass surrogate assumed as SiO2; identical numbers to sio2,3500,1.185,0.05878,374.0,0.0,0.0,375.3,374.1
glass_sio2,glass ~ SiO2,compound_alias,SiO2,glass surrogate assumed as SiO2; identical numbers to sio2,4000,1.073,0.06648,260.1,0.0,0.0,261.3,260.2
glass_sio2,glass ~ SiO2,compound_alias,SiO2,glass surrogate assumed as SiO2; identical numbers to sio2,4500,0.9773,0.07347,187.4,0.0,0.0,188.5,187.5
glass_sio2,glass ~ SiO2,compound_alias,SiO2,glass surrogate assumed as SiO2; identical numbers to sio2,5000,0.8939,0.0798,139.1,0.0,0.0,140.1,139.2
glass_sio2,glass ~ SiO2,compound_alias,SiO2,glass surrogate assumed as SiO2; identical numbers to sio2,5500,0.821,0.08553,106.0,0.0,0.0,106.9,106.1
glass_sio2,glass ~ SiO2,compound_alias,SiO2,glass surrogate assumed as SiO2; identical numbers to sio2,6000,0.7565,0.09074,82.61,0.0,0.0,83.45,82.7
glass_sio2,glass ~ SiO2,compound_alias,SiO2,glass surrogate assumed as SiO2; identical numbers to sio2,6500,0.699,0.09547,65.57,0.0,0.0,66.36,65.66
glass_sio2,glass ~ SiO2,compound_alias,SiO2,glass surrogate assumed as SiO2; identical numbers to sio2,7000,0.6475,0.09979,52.87,0.0,0.0,53.62,52.97
glass_sio2,glass ~ SiO2,compound_alias,SiO2,glass surrogate assumed as SiO2; identical numbers to sio2,7500,0.6012,0.1037,43.22,0.0,0.0,43.93,43.33
glass_sio2,glass ~ SiO2,compound_alias,SiO2,glass surrogate assumed as SiO2; identical numbers to sio2,8000,0.5593,0.1074,35.77,0.0,0.0,36.43,35.87
glass_sio2,glass ~ SiO2,compound_alias,SiO2,glass surrogate assumed as SiO2; identical numbers to sio2,8500,0.5214,0.1107,29.91,0.0,0.0,30.54,30.02
glass_sio2,glass ~ SiO2,compound_alias,SiO2,glass surrogate assumed as SiO2; identical numbers to sio2,9000,0.4871,0.1138,25.26,0.0,0.0,25.86,25.37
glass_sio2,glass ~ SiO2,compound_alias,SiO2,glass surrogate assumed as SiO2; identical numbers to sio2,9500,0.4558,0.1166,21.51,0.0,0.0,22.08,21.63
glass_sio2,glass ~ SiO2,compound_alias,SiO2,glass surrogate assumed as SiO2; identical numbers to sio2,10000,0.4275,0.1193,18.46,0.0,0.0,19.01,18.58
glass_sio2,glass ~ SiO2,compound_alias,SiO2,glass surrogate assumed as SiO2; identical numbers to sio2,10500,0.4016,0.1217,15.95,0.0,0.0,16.48,16.08
glass_sio2,glass ~ SiO2,compound_alias,SiO2,glass surrogate assumed as SiO2; identical numbers to sio2,11000,0.3779,0.124,13.88,0.0,0.0,14.38,14.0
glass_sio2,glass ~ SiO2,compound_alias,SiO2,glass surrogate assumed as SiO2; identical numbers to sio2,11500,0.3563,0.1261,12.14,0.0,0.0,12.62,12.27
glass_sio2,glass ~ SiO2,compound_alias,SiO2,glass surrogate assumed as SiO2; identical numbers to sio2,12000,0.3365,0.1281,10.68,0.0,0.0,11.15,10.81
